ARI,Zach Greinke,33,23,3.1,142.1,1.2,1.7,9.9,0.279,151,3.25,3.6
ATL,Mike Foltynewicz,25,20,4.08,114.2,1.4,3.3,8.2,0.303,105,4.66,0.8
BAL,Dylan Bundy,24,21,4.24,127.1,1.5,2.8,6.9,0.262,102,4.85,1.4
BOS,Chris Sale,28,22,2.7,153.1,0.8,1.6,12.7,0.291,169,2.08,6.5
CHC,Jose Quintana,28,18,4.42,128.1,1.3,3.2,9.8,0.301,97,4.04,2
CHW,Miguel Gonzalez,33,17,5.15,99.2,1.4,3.3,5.1,0.304,84,5.19,0.6
CIN,Scott Feldman,34,19,4.34,103.2,1.3,3,7.5,0.296,102,4.53,1.2
CLE,Corey Kluber,31,18,2.77,123.2,0.9,2,12.5,0.291,168,2.46,4.4
COL,German Marquez,22,18,4.11,103,1,2.9,8.7,0.31,122,3.73,2.4
DET,Michael Fulmer,24,21,3.59,140.1,0.6,2,6.4,0.275,122,3.44,3.3
HOU,Lance McCullers,23,19,3.92,105.2,0.5,3.1,10.1,0.331,101,2.96,2.8
KCR,Danny Duffy,28,17,3.42,108,0.6,2.4,7.1,0.314,134,3.33,2.7
LAA,JC Ramirez,28,21,4.03,129.2,1.3,2.9,6.9,0.289,105,4.61,1
LAD,Clayton Kershaw,29,21,2.04,141.1,1.1,1.5,10.7,0.251,204,2.94,4
MIA,Dan Straily,28,22,3.79,123.1,1.4,2.6,8.1,0.273,107,4.3,1.7
MIL,Jimmy Nelson,28,22,3.37,133.2,0.9,2.2,10,0.328,129,3.11,3.7
MIN,Jose Berrios,23,15,3.57,90.2,0.9,2.7,8.1,0.274,125,3.82,1.8
NYM,Jacob DeGrom,29,22,3.36,144.2,1.3,2.9,10.6,0.291,126,3.68,2.9
NYY,Luis Severino,23,21,2.98,132.2,0.8,2.4,10.4,0.293,154,2.92,4.1
OAK,Sean Manaea,25,20,3.88,116,0.9,3,8.6,0.304,109,3.74,2
PHI,Aaron Nola,24,17,3.16,105.1,0.9,2.6,9.4,0.301,134,3.2,2.7
PIT,Gerrit Cole,26,22,3.97,133.2,1.4,2.2,8.1,0.294,107,4.18,1.7
SDP,Jhoulys Chacin,29,22,3.99,126.1,1.1,3.2,7.4,0.276,105,4.26,1.7
SFG,Jeff Samardzija,32,22,4.77,143.1,1.4,1.2,9.5,0.322,87,3.54,2.6
SEA,James Paxton,28,19,2.7,113.1,0.4,2.5,10.5,0.301,158,2.32,4.2
STL,Carlos Martinez,25,22,3.59,140.1,1.1,3.5,9.7,0.28,118,3.81,2.5
TBR,Chris Archer,28,23,3.89,148,1,2.8,11.1,0.325,107,3.2,3.7
TEX,Andrew Cashner,30,18,3.36,107,0.7,3.6,4.6,0.275,137,4.41,1.3
TOR,Marcus Stroman,26,22,3.19,138.1,0.9,2.9,7.4,0.311,144,3.88,2.4
WAS,Max Scherzer,32,22,2.21,146.1,1,2.2,12.4,0.233,197,2.83,4.5